"","Trans2","Trans4","Trans5","Trans6","Trans7","Trans8","Trans9","Trans11","Trans31","Trans41","Food10","Food18","Food26","Food30","Food43","Food46","Food51","Food53","Food55","Food58","Food59","Food81","Food82","Food87","Food107","Food137","Food150","Food153","Food156","Food160","Food162"
"7404",22.33,52.68,1,3,4,7,1,26,1,4,0,0,0,6.6,0,13.5,6,0,0,0,10.85,0,0,1,0,0,8,0,1,2.95,5.9
"7405",4,27.31,3,3,6,7,28,133,0,84,0,0,0,0,0,0,2,1,0,0,4.45,0,0,0,2,2,1,1,2,0,0
"7406",0,11.23,0,0,0,3,15,29,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"7407",40.85,302.79,5,6,6,55,0,4,1,2,0,0,0,0,27.5,0,19,2,2,109.17,85.55,0,0.725593668,0,5,7,7,25,3,0,0
"7408",0,85.89,0,0,7,15,1,16,1,0,0,0,0,0,0,0,0,0,6,42.5,0,0.95601173,0,0,0,4,5,6,6,0,0
"7409",0,238.32,0,0,0,49,6,16,0,3,0,0,0,0,0,0,56,0,12,0,176.65,0,0,0,0,0,10,10,2,0,0
"7410",18.01,69.12,0,2,6,8,9,145,1,9,0,0,0,0,0,7.2,0,3,0,13.55,0,0.595604396,0,0.316483517,0,3,0,3,4,0,2.45
"7411",108.15,189.64,7,12,20,25,9,20,1,0,29.14,9,37.31,0,0,0,0,0,8,64.86,0,0.608586148,0,0,1,4,0,20,25,0,0
"7412",0,24.08,0,0,0,5,33,56,1,12,0,0,0,0,0,0,0,1,2,4.15,0,0,0,0,0,0,1,0,2,0,0
"7413",0,161.96,0,0,0,31,0,7,0,6,0,0,0,0,0,0,4,2,0,46.95,19,0,0,0,0,0,0,14,6,0,0
"7414",42.15,66.95,12,13,13,20,3,51,0,1,0,0,0,7.1,0,7.1,0,15,4,0,0,0,0,0.321995465,0,0,2,20,4,1.5,1.5
"7415",46.15,113,4,9,15,25,1,32,1,30,0,1,3.95,0,44.4,0,10,14,2,3.95,44.4,0.067463706,0.758326217,0,3,13,4,9,1,0,0
"7416",45.4,92.3,2,7,13,17,15,79,0.67,0,4.65,3,14.15,0,3.95,0,1,0,7,44.1,3.95,0.397446129,0.063048683,0,1,2,4,15,18,0,0
"7417",2.15,23.55,1,1,7,8,27,167,0,3,0,0,0,0,0,0,0,4,0,4.25,0,0.286195286,0,0,0,1,8,0,7,0,0
"7418",13.45,73.54,2,3,5,20,38,44,0,1,0,0,0,0,9.2,0,10,1,0,8.2,31.44,0.445652174,0.5,0,1,3,2,0,3,0,0
"7419",0,61.08,0,0,2,7,31,55,0,6,0,0,0,0,0,19.4,0,0,0,0,0,0,0,0.974874372,0,1,3,3,3,0,6.4
"7420",56.65,82.69,6,10,13,15,9,127,1,33,19.5,5,23.95,0,0,0,0,0,3,41.95,0,0.694852941,0,0,2,3,0,12,6,2.45,2.45
"7421",0,87.21,0,0,0,13,9,27,1,10,0,0,0,0,0,0,5,0,0,0,13.48,0,0,0,0,0,0,6,0,0,0
"7422",54.4,120.4,2,9,14,19,38,47,0,0,0,5,24.55,6.9,0,18.35,0,4,0,45.35,0,0.596020761,0,0.317474048,1,4,0,14,14,2.45,8.9
"7423",161.2,182.85,16,24,24,27,15,20,1,4,3.95,7,28.95,47.95,54.35,47.95,12,0,2,28.95,59.6,0.179590571,0.337158809,0.297456576,0,0,1,29,11,19.15,19.15
"7424",0,82.5,0,0,0,11,12,25,0,12,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,3,0,0,0
"7425",23.05,41.25,0,4,5,7,23,174,0,44,0,1,4.45,0,4.55,0,1,2,6,9.4,4.55,0.387628866,0.187628866,0,0,4,2,4,7,0,0
"7426",0,154.6,0,0,7,23,1,11,0.67,0,0,0,0,0,0,10.05,1,0,30,4.45,4.25,0,0,0.200598802,0,5,9,19,36,0,3.25
"7427",26.23,60.68,3,5,5,10,13,18,0,0,0,0,0,0,0,0,0,2,6,7.4,0,0,0,0,0,0,4,6,7,0,0
"7428",16.13,54.28,0,3,5,8,8,36,0,4,0,2,9.7,0,0,9.8,0,0,0,19.2,0,0.583838384,0,0.395959596,0,4,2,0,7,0,3.95
"7429",0,196.85,0,0,2,23,15,43,0.86,14,0,0,0,0,0,0,0,8,26,15.1,0,1,0,0,0,2,4,0,15,0,0
"7430",17.04,67.62,6,8,16,23,2,47,0,0,0,0,0,0,0,4.1,0,0,2,0,0,0,0,0.18510158,2,8,0,0,10,2,4
"7431",70.89,209.51,7,14,29,38,0,54,0,32,0,3,11.45,19.4,19.15,29.1,5,5,8,34.85,19.15,0.265517241,0.188669951,0.286699507,0,10,11,8,16,16.25,21.95
"7432",0,20.4,0,0,0,4,3,22,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
"7433",3.25,90.38,0,1,3,16,31,45,0,4,0,1,3.25,0,0,0,1,0,2,10.25,3.95,0.466666667,0,0,0,3,0,2,6,0,0
"7434",0,49.26,0,0,0,9,38,73,0,1,0,0,0,0,0,0,6,0,4,5.25,16.32,0,0,0,0,0,0,7,0,0,0
"7435",12.8,112.42,0,3,11,21,6,43,0.5,5,0,0,0,7.5,0,16.27,0,13,4,0,0,0,0,0.4055334,0,5,3,10,9,5.25,6.12
"7436",0,34.66,0,0,0,3,16,30,0,11,0,0,0,0,0,0,2,0,0,0,8.76,0,0,0,0,0,0,0,0,0,0
"7437",0,176.15,0,0,0,76,0,3,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,73,4,96,0,0
